using device: cuda
Run: plr_p50_1000
[eval step 750] random regret +0.337 break 0.09 | walls regret +0.000 break 1.00
[eval step 760] random regret +0.334 break 0.09 | walls regret +0.000 break 1.00
[eval step 770] random regret +0.321 break 0.09 | walls regret +0.000 break 1.00
[eval step 780] random regret +0.343 break 0.09 | walls regret +0.003 break 1.00
[eval step 790] random regret +0.351 break 0.09 | walls regret +0.435 break 1.00
[eval step 800] random regret +0.347 break 0.09 | walls regret +0.003 break 1.00
[eval step 810] random regret +0.307 break 0.09 | walls regret +0.003 break 1.00
[eval step 820] random regret +0.302 break 0.08 | walls regret +0.000 break 1.00
[eval step 830] random regret +0.301 break 0.09 | walls regret +0.000 break 1.00
[eval step 840] random regret +0.320 break 0.09 | walls regret +0.000 break 1.00
[eval step 850] random regret +0.315 break 0.09 | walls regret +0.000 break 1.00
[eval step 860] random regret +0.312 break 0.09 | walls regret +0.000 break 1.00
[eval step 870] random regret +0.281 break 0.08 | walls regret +0.000 break 1.00
[eval step 880] random regret +0.310 break 0.09 | walls regret +0.000 break 1.00
[eval step 890] random regret +0.305 break 0.09 | walls regret +0.000 break 1.00
[eval step 900] random regret +0.275 break 0.08 | walls regret +0.000 break 1.00
[eval step 910] random regret +0.292 break 0.08 | walls regret +0.000 break 1.00
[eval step 920] random regret +0.305 break 0.09 | walls regret +0.000 break 1.00
[eval step 930] random regret +0.303 break 0.09 | walls regret +0.000 break 1.00
[eval step 940] random regret +0.276 break 0.08 | walls regret +0.000 break 1.00
[eval step 950] random regret +0.280 break 0.08 | walls regret +0.086 break 1.00
[eval step 960] random regret +0.262 break 0.08 | walls regret +0.086 break 1.00
[eval step 970] random regret +0.264 break 0.08 | walls regret +0.013 break 1.00
[eval step 980] random regret +0.278 break 0.08 | walls regret +0.000 break 1.00
[eval step 990] random regret +0.297 break 0.08 | walls regret +0.000 break 1.00
[eval step 1000] random regret +0.319 break 0.08 | walls regret +0.000 break 1.00
[eval step 1010] random regret +0.315 break 0.08 | walls regret +0.000 break 1.00
[eval step 1020] random regret +0.362 break 0.09 | walls regret +0.010 break 1.00
[eval step 1030] random regret +0.363 break 0.08 | walls regret +0.214 break 1.00
[eval step 1040] random regret +0.327 break 0.08 | walls regret +0.386 break 1.00
[eval step 1050] random regret +0.292 break 0.08 | walls regret +0.502 break 1.00
[eval step 1060] random regret +0.291 break 0.08 | walls regret +0.083 break 1.00
[eval step 1070] random regret +0.296 break 0.08 | walls regret +0.807 break 1.00
[eval step 1080] random regret +0.289 break 0.08 | walls regret +0.073 break 1.00
[eval step 1090] random regret +0.274 break 0.08 | walls regret +0.003 break 1.00
[eval step 1100] random regret +0.294 break 0.08 | walls regret +0.003 break 1.00
[eval step 1110] random regret +0.298 break 0.08 | walls regret +0.000 break 1.00
[eval step 1120] random regret +0.298 break 0.08 | walls regret +0.000 break 1.00
[eval step 1130] random regret +0.304 break 0.08 | walls regret +0.000 break 1.00
[eval step 1140] random regret +0.286 break 0.08 | walls regret +0.000 break 1.00
[eval step 1150] random regret +0.270 break 0.08 | walls regret +0.000 break 1.00
[eval step 1160] random regret +0.270 break 0.08 | walls regret +0.000 break 1.00
[eval step 1170] random regret +0.275 break 0.08 | walls regret +0.000 break 1.00
[eval step 1180] random regret +0.277 break 0.08 | walls regret +0.063 break 1.00
[eval step 1190] random regret +0.316 break 0.09 | walls regret +0.063 break 1.00
[eval step 1200] random regret +0.303 break 0.08 | walls regret +0.000 break 1.00
[eval step 1210] random regret +0.280 break 0.08 | walls regret +0.003 break 1.00
[eval step 1220] random regret +0.229 break 0.07 | walls regret +0.003 break 1.00
[eval step 1230] random regret +0.238 break 0.07 | walls regret +0.000 break 1.00
[eval step 1240] random regret +0.265 break 0.08 | walls regret +0.057 break 1.00
[eval step 1250] random regret +0.240 break 0.08 | walls regret +0.000 break 1.00
[eval step 1260] random regret +0.250 break 0.08 | walls regret +0.000 break 1.00
[eval step 1270] random regret +0.257 break 0.07 | walls regret +0.000 break 1.00
[eval step 1280] random regret +0.260 break 0.08 | walls regret +0.000 break 1.00
[eval step 1290] random regret +0.263 break 0.08 | walls regret +0.013 break 1.00
[eval step 1300] random regret +0.274 break 0.08 | walls regret +0.013 break 1.00
