ppo/loss                ppo/return           ppo/loss-actor           ppo/loss-critic        ppo/entropy         ppo/actor-clip        ppo/critic-clip        ppo/actor-kl1          ppo/actor-kl3          regret/generate       step  grad_step  rollout_step  branch  num_generate_steps  num_replay_updates  solver_cache/lookups  solver_cache/hits  solver_cache/solves  solver_cache/dup_collapsed  solver_cache/hit_rate  solver_cache/preloaded  solver_cache/size  eval/random/optimal  eval/random/greedy/regret  eval/random/greedy/max_regret  eval/random/greedy/solved  eval/random/greedy/break  eval/random/greedy/achieved  eval/random/stochastic/regret  eval/random/stochastic/max_regret  eval/random/stochastic/solved  eval/random/stochastic/break  eval/random/stochastic/achieved  eval/walls/optimal  eval/walls/greedy/regret  eval/walls/greedy/max_regret  eval/walls/greedy/solved  eval/walls/greedy/break  eval/walls/greedy/achieved  eval/walls/stochastic/regret  eval/walls/stochastic/max_regret  eval/walls/stochastic/solved  eval/walls/stochastic/break  eval/walls/stochastic/achieved
2.8863564655184746      -13.448404312133789  -0.0011477462612674572   5.81080786883831       1.7899708040058613  0.04530906677246094   0.96875                0.0016751196799305035  0.0015465394353668671  12.484057426452637    0     0.0        0.0           0.0     1                   0                   819                   0                  794                  25                          0.0                    0                       794                -0.9967069625854492  9.983078002929688          12.973356246948242             0.0                        0.00146484375             -10.979784965515137          12.238314628601074             23.27131462097168                  0.0                            0.7529296875                  -13.23502254486084               -5.023684024810791  5.9536614418029785        5.9536614418029785            0.0                       0.0                      -10.97734546661377          13.888646125793457            16.933862686157227                0.0                           1.0                          -18.912330627441406
1.716928344219923       -11.185405731201172  0.0001586466642038431    3.4665025174617767     1.64815578982234    0.08743476867675781   0.9586124420166016     0.0018738572207439574  0.0017443254837417044  10.314348220825195    10    10.0       10.0          0.0     11                  0                   1638                  62                 1526                 50                          0.03785103785103785    0                       1526               -0.9967069625854492  10.018941879272461         13.767494201660156             0.0                        0.01318359375             -11.015649795532227          10.119959831237793             16.300384521484375                 0.0                            0.16552734375                 -11.116665840148926              -5.023684024810791  8.95366096496582          8.95366096496582              0.0                       1.0                      -13.97734546661377          9.667203903198242             11.501996994018555                0.0                           1.0                          -14.690887451171875
1.1598096750676632      -10.058756828308105  -0.0010037171632575337   2.3533035293221474     1.583837777376175   0.08110427856445312   0.8668861389160156     0.0017381197551458172  0.001686293593593291   9.088351249694824     20    20.0       20.0          0.0     21                  0                   2457                  146                2246                 65                          0.05942205942205942    0                       2246               -0.9967069625854492  9.940231323242188          12.977640151977539             0.0                        0.00341796875             -10.936935424804688          8.824409484863281              14.943612098693848                 0.001953125                    0.080078125                   -9.821115493774414               -5.023684024810791  6.832733154296875         8.590877532958984             0.0                       0.3333333432674408       -11.856417655944824         9.970829963684082             10.779142379760742                0.0                           1.0                          -14.994514465332031
0.5766444206237793      -7.241086959838867   -0.00017303781714872457  1.183674931526184      1.502000980079174   0.16322708129882812   0.7296657562255859     0.003329959779875935   0.003343974598465138   6.293374538421631     30    30.0       30.0          0.0     31                  0                   3276                  257                2932                 87                          0.07844932844932845    0                       2932               -0.9967069625854492  8.036865234375             13.40471076965332              0.16064453125              0.00927734375             -9.03357219696045            6.015307426452637              14.262866020202637                 0.01611328125                  0.1416015625                  -7.012014865875244               -5.023684024810791  7.71180534362793          8.590877532958984             0.0                       0.6666666865348816       -12.735489845275879         7.518203258514404             8.560953140258789                 0.0                           1.0                          -12.541886329650879
0.38182168267667294     -3.9761223793029785  0.0002377876971877413    0.7908572610467672     1.3844736889004707  0.12432098388671875   0.4896068572998047     0.0027482044097268954  0.002692802889214363   2.96874737739563      40    40.0       40.0          0.0     41                  0                   4095                  426                3572                 97                          0.10402930402930403    0                       3572               -0.9967069625854492  3.7151331901550293         13.40471076965332              0.52587890625              0.04541015625             -4.71183967590332            2.7789900302886963             14.769485473632812                 0.12451171875                  0.21826171875                 -3.7756965160369873              -5.023684024810791  5.9536614418029785        5.9536614418029785            0.0                       0.0                      -10.97734546661377          6.774272441864014             7.6477179527282715                0.0                           1.0                          -11.797955513000488
0.23941586213186383     -2.236144781112671   -7.573112088721246e-05   0.5060019344091415     1.350937694311142   0.13581085205078125   0.2542552947998047     0.0030755489169678185  0.0030477822856482817  1.2854493856430054    50    50.0       50.0          0.0     51                  0                   4914                  609                4198                 107                         0.12393162393162394    0                       4198               -0.9967069625854492  1.4432963132858276         13.146574974060059             0.73046875                 0.08154296875             -2.4400031566619873          1.184821367263794              12.553467750549316                 0.357421875                    0.17724609375                 -2.181528329849243               -5.023684024810791  5.9536614418029785        5.9536614418029785            0.0                       0.0                      -10.97734546661377          3.8192145824432373            5.1545939445495605                0.0                           1.0                          -8.84289836883545
0.08581042615696788     -1.5251641273498535  0.0015183248578978237    0.19422459788620472    1.2820199131965637  0.1392040252685547    0.15389251708984375    0.0029133925127098337  0.002844429011020111   0.5140353441238403    60    60.0       60.0          0.0     61                  0                   5733                  826                4784                 123                         0.14407814407814407    0                       4784               -0.9967069625854492  0.7024804353713989         12.543837547302246             0.822265625                0.0966796875              -1.6991872787475586          0.5166159868240356             9.603347778320312                  0.623046875                    0.12255859375                 -1.5133228302001953              -5.023684024810791  5.7400946617126465        8.590877532958984             0.3333333432674408        1.0                      -10.763778686523438         2.536660671234131             4.864302158355713                 0.0                           1.0                          -7.560344696044922
0.012648574978811666    -1.3101720809936523  0.002624823187943548     0.04548676672857255    1.2719631977379322  0.15396690368652344   0.08185386657714844    0.0037286744536686456  0.0037871753993385937  0.32424452900886536   70    70.0       70.0          0.0     71                  0                   6552                  1069               5346                 137                         0.16315628815628816    0                       5346               -0.9967069625854492  0.3870716392993927         12.230844497680664             0.86328125                 0.080078125               -1.38377845287323            0.32311850786209106            8.994950294494629                  0.76611328125                  0.0966796875                  -1.3198254108428955              -5.023684024810791  0.06860971450805664       0.07453584671020508           0.0                       1.0                      -5.092293739318848          0.19463331997394562           0.4526066780090332                0.0                           1.0                          -5.21831750869751
0.00537990900920704     -1.2559798955917358  0.006581979207112454     0.02285939478315413    1.2631767988204956  0.3164100646972656    0.06828498840332031    0.009514040080830455   0.00970883181435056    0.21433889865875244   80    80.0       80.0          0.0     81                  0                   7371                  1312               5911                 148                         0.17799484466151133    0                       5911               -0.9967069625854492  0.27900150418281555        10.568543434143066             0.896484375                0.06787109375             -1.2757083177566528          0.2423759400844574             8.6329345703125                    0.82470703125                  0.0771484375                  -1.2390828132629395              -5.023684024810791  0.0385289192199707        0.0385289192199707            1.0                       1.0                      -5.062212944030762          0.0385289192199707            0.0385289192199707                1.0                           1.0                          -5.062212944030762
-0.002821730697178282   -1.1868555545806885  0.003540478252034518     0.012805295613361523   1.2764857076108456  0.21518516540527344   0.02486419677734375    0.006717088763252832   0.006427966261981055   0.21795740723609924   90    90.0       90.0          0.0     91                  0                   8190                  1605               6433                 152                         0.19597069597069597    0                       6433               -0.9967069625854492  0.24000367522239685        10.53525161743164              0.90380859375              0.06396484375             -1.2367104291915894          0.19338862597942352            11.680305480957031                 0.8759765625                   0.0673828125                  -1.1900955438613892              -5.023684024810791  0.0385289192199707        0.0385289192199707            1.0                       1.0                      -5.062212944030762          0.03223530575633049           0.0385289192199707                1.0                           1.0                          -5.055919170379639
