ppo/loss                ppo/return             ppo/loss-actor           ppo/loss-critic        ppo/entropy         ppo/actor-clip        ppo/critic-clip        ppo/actor-kl1          ppo/actor-kl3          regret/generate        step  grad_step  rollout_step  branch  num_generate_steps  num_replay_updates  eval/random/optimal  eval/random/greedy/regret  eval/random/greedy/max_regret  eval/random/greedy/solved  eval/random/greedy/break  eval/random/greedy/achieved  eval/random/stochastic/regret  eval/random/stochastic/max_regret  eval/random/stochastic/solved  eval/random/stochastic/break  eval/random/stochastic/achieved  eval/walls/optimal  eval/walls/greedy/regret  eval/walls/greedy/max_regret  eval/walls/greedy/solved  eval/walls/greedy/break  eval/walls/greedy/achieved  eval/walls/stochastic/regret  eval/walls/stochastic/max_regret  eval/walls/stochastic/solved  eval/walls/stochastic/break  eval/walls/stochastic/achieved
0.321878002025187       -3.5786020755767822    -0.0020001510783913545   0.6835512816905975     1.7897485084831715  0.05579185485839844   0.8680896759033203     0.0018834173006325727  0.0017757675077518797  5.004175662994385      0     0.0        0.0           0.0     1                   0                   1.3644530773162842   2.465212821960449          9.667224884033203              0.0009765625               0.001953125               -1.100759506225586           4.688263416290283              14.458292007446289                 0.0                            0.74072265625                 -3.32381010055542                1.8828092813491821  2.980543851852417         3.528801918029785             0.0                       0.0                      -1.0977344512939453         10.915528297424316            13.480713844299316                0.0                           1.0                          -9.032719612121582
0.006569379125721753    -1.1202924251556396    -0.002969275963550899    0.05183305614627898    1.6377873308956623  0.107940673828125     0.5147800445556641     0.0021017553781348397  0.0020497385344242502  2.4456355571746826     10    10.0       10.0          0.0     11                  0                   1.3644530773162842   2.4513754844665527         7.030007839202881              0.00048828125              0.00537109375             -1.0869224071502686          2.3703887462615967             8.61142349243164                   0.00341796875                  0.08984375                    -1.0059356689453125              1.8828092813491821  3.980543851852417         5.912316799163818             0.0                       0.3333333432674408       -2.0977344512939453         6.601786136627197             7.81649923324585                  0.0                           1.0                          -4.7189764976501465
-0.0021355344797484577  -0.033209361135959625  -0.0013666214326804038   0.02942128910217434    1.547955796122551   0.19505691528320312   0.23254013061523438    0.003600074000132736   0.0035598745562310796  1.3845329284667969     20    20.0       20.0          0.0     21                  0                   1.3644530773162842   2.078152894973755          6.535123825073242              0.1298828125               0.00244140625             -0.7136998176574707          1.3161156177520752             7.711446762084961                  0.03515625                     0.041015625                   0.04833746328949928              1.8828092813491821  2.980543851852417         3.528801918029785             0.0                       0.0                      -1.0977344512939453         4.568478107452393             5.519608020782471                 0.0                           0.6666666865348816           -2.6856689453125
0.0007650380139239132   0.7757407426834106     -0.0003659585490822792   0.03154681663727388    1.4642412029206753  0.18073463439941406   0.3884105682373047     0.0035686646706380998  0.003415183415199863   0.5844128131866455     30    30.0       30.0          0.0     31                  0                   1.3644530773162842   1.0656437873840332         6.535123825073242              0.53076171875              0.00341796875             0.29880931973457336          0.5297673344612122             7.721531867980957                  0.224609375                    0.03955078125                 0.834685742855072                1.8828092813491821  2.980543851852417         3.528801918029785             0.0                       0.0                      -1.0977344512939453         3.703331708908081             4.886531352996826                 0.0                           1.0                          -1.8205223083496094
-0.004438952310010791   1.0929638147354126     0.0005644088705594186    0.017476723121944815   1.3741723112761974  0.13755035400390625   0.16393470764160156    0.0027512628330441657  0.0026381361294625094  0.26779794692993164    40    40.0       40.0          0.0     41                  0                   1.3644530773162842   0.3727715313434601         6.206322193145752              0.79345703125              0.0087890625              0.9916816353797913           0.24380625784397125            5.45145845413208                   0.4619140625                   0.03759765625                 1.1206468343734741               1.8828092813491821  2.980543851852417         3.528801918029785             0.0                       0.0                      -1.0977344512939453         2.7856979370117188            3.722825288772583                 0.0                           1.0                          -0.9028887152671814
-0.007546103544882499   1.2133750915527344     0.0016684093425283208    0.007793647077050991   1.3111336641013622  0.1381511688232422    0.04199981689453125    0.0028258663423912367  0.0027149729685334023  0.1309921145439148     50    50.0       50.0          0.0     51                  0                   1.3644530773162842   0.2242479920387268         7.295814514160156              0.87109375                 0.00830078125             1.1402051448822021           0.11071646213531494            5.095500469207764                  0.70166015625                  0.0234375                     1.2537367343902588               1.8828092813491821  2.980543851852417         3.528801918029785             0.0                       0.0                      -1.0977344512939453         1.5970665216445923            2.5461459159851074                0.0                           1.0                          0.2857425808906555
-0.007379458053037524   1.2700111865997314     0.0030895386553311255    0.0048726943641668186  1.2905344143509865  0.1667766571044922    0.0135345458984375     0.003571785222447943   0.0036046954337507486  0.0684938132762909     60    60.0       60.0          0.0     61                  0                   1.3644530773162842   0.10609770566225052        5.569602966308594              0.92724609375              0.00439453125             1.2583554983139038           0.055999189615249634           4.785700798034668                  0.83740234375                  0.013671875                   1.308453917503357                1.8828092813491821  2.980543851852417         3.528801918029785             0.0                       0.0                      -1.0977344512939453         1.6049450635910034            2.3172764778137207                0.0                           1.0                          0.2778641879558563
-0.007660814764676616   1.295583724975586      0.003262575024564285     0.0039190274983411655  1.2882903814315796  0.16225242614746094   0.01073455810546875    0.003461837916802324   0.0036285990972828586  0.060376834124326706   70    70.0       70.0          0.0     71                  0                   1.3644530773162842   0.0793461948633194         5.484426975250244              0.94775390625              0.00439453125             1.285106897354126            0.04141274467110634            4.291208744049072                  0.896484375                    0.009765625                   1.32304048538208                 1.8828092813491821  2.980543851852417         3.528801918029785             0.0                       0.0                      -1.0977344512939453         1.137891173362732             1.775275707244873                 0.0                           1.0                          0.744918167591095
-0.006298384425463155   1.2969388961791992     0.005016691611672286     0.0032168917532544583  1.2923522181808949  0.163238525390625     0.014101028442382812   0.0040079885147861205  0.00416084798052907    0.02858090028166771    80    80.0       80.0          0.0     81                  0                   1.3644530773162842   0.10250823944807053        7.030007839202881              0.95263671875              0.00146484375             1.2619450092315674           0.03678435832262039            6.235342979431152                  0.92236328125                  0.00390625                    1.3276687860488892               1.8828092813491821  2.980543851852417         3.528801918029785             0.0                       0.0                      -1.0977344512939453         1.977928638458252             2.5005125999450684                0.0                           0.3333333432674408           -0.09511931985616684
-0.0074211318424204364  1.2973473072052002     0.0033998265989794163    0.0034839416766772047  1.2562929578125477  0.16060829162597656   0.011383056640625      0.004453218314665719   0.004284467242541723   0.0512123666703701     90    90.0       90.0          0.0     91                  0                   1.3644530773162842   0.0925714373588562         7.030007839202881              0.9560546875               0.0029296875              1.2718818187713623           0.04159349203109741            7.030007839202881                  0.93701171875                  0.00537109375                 1.322859764099121                1.8828092813491821  2.8596160411834717        3.1660187244415283            0.0                       0.0                      -0.9768067002296448         2.310260057449341             3.1660187244415283                0.0                           0.6666666865348816           -0.4274508059024811
