ppo/return             buffer/admit_count  buffer/admit_rate  buffer/dup_rate  regret/generate       step   grad_step  rollout_step  branch  num_generate_steps  num_replay_updates  buffer/mean_score     buffer/max_score     buffer/min_score         buffer/size  buffer/fill_ratio  buffer/mean_urns  buffer/max_urns  solver_cache/lookups  solver_cache/hits  solver_cache/solves  solver_cache/dup_collapsed  solver_cache/hit_rate  solver_cache/preloaded  solver_cache/size  eval/random/optimal  eval/random/greedy/regret  eval/random/greedy/max_regret  eval/random/greedy/solved  eval/random/greedy/break  eval/random/greedy/achieved  eval/random/stochastic/regret  eval/random/stochastic/max_regret  eval/random/stochastic/solved  eval/random/stochastic/break  eval/random/stochastic/achieved  eval/walls/optimal  eval/walls/greedy/regret  eval/walls/greedy/max_regret  eval/walls/greedy/solved  eval/walls/greedy/break  eval/walls/greedy/achieved  eval/walls/stochastic/regret  eval/walls/stochastic/max_regret  eval/walls/stochastic/solved  eval/walls/stochastic/break  eval/walls/stochastic/achieved  ppo/loss                 ppo/loss-actor           ppo/loss-critic        ppo/entropy          ppo/actor-clip        ppo/critic-clip        ppo/actor-kl1          ppo/actor-kl3          regret/replay
-3.6002731323242188    8192.0              1.0                0.0              4.927128791809082     0      0.0        0.0           0.0     1                   0                   0.7595653533935547    0.9807742238044739   3.067453491212291e-08    8192.0       0.5                1.30126953125     8.0              8192                  0                  6425                 1767                        0.0                    0                       6425               1.3644530773162842   2.729508638381958          10.141312599182129             0.00048828125              0.087890625               -1.3650556802749634          4.887054920196533              14.625218391418457                 0.0                            0.79052734375                 -3.522602081298828               1.8828092813491821  2.980543851852417         3.528801918029785             0.0                       0.0                      -1.0977344512939453         10.113452911376953            13.480713844299316                0.0                           1.0                          -8.230643272399902              nan                      nan                      nan                    nan                  nan                   nan                    nan                    nan                    nan
-4.243906021118164     nan                 nan                nan              nan                   10     5.0        5.0           1.0     7                   4                   0.8937931060791016    0.979337751865387    0.1229143813252449       16384.0      1.0                1.354736328125    6.0              57344                 24372              30193                2779                        0.42501395089285715    0                       30193              1.3644530773162842   2.6179208755493164         8.351306915283203              0.0009765625               0.0595703125              -1.2534676790237427          4.278722763061523              13.388846397399902                 0.0                            0.6552734375                  -2.9142696857452393              1.8828092813491821  2.980543851852417         3.528801918029785             0.0                       0.0                      -1.0977344512939453         8.102363586425781             10.796685218811035                0.0                           1.0                          -6.219554901123047              0.3101283349096775       -0.007487599432351999    0.6703588180243969     1.75634740665555     0.1748046875          0.7894477844238281     0.0033152198141124245  0.003229529197597003   6.569871425628662
-2.197810649871826     1376.0              0.16796875         0.294189453125   3.52983021736145      20     10.0       10.0          0.0     13                  8                   0.9000553488731384    0.9793997406959534   0.7579793334007263       16384.0      1.0                1.335205078125    6.0              106496                54430              49037                3029                        0.5110990084134616     0                       49037              1.3644530773162842   2.5889577865600586         9.778531074523926              0.00048828125              0.0537109375              -1.2245043516159058          3.5597925186157227             10.935970306396484                 0.0009765625                   0.49658203125                 -2.1953394412994385              1.8828092813491821  2.980543851852417         3.528801918029785             0.0                       0.0                      -1.0977344512939453         7.35730504989624              8.05591869354248                  0.0                           1.0                          -5.474496364593506              nan                      nan                      nan                    nan                  nan                   nan                    nan                    nan                    nan
-1.6356227397918701    1020.0              0.12451171875      0.2344970703125  2.9693548679351807    30     15.0       15.0          0.0     19                  12                  0.865080714225769     0.9778876900672913   0.697020947933197        16384.0      1.0                1.30670166015625  6.0              155648                87498              64939                3211                        0.5621530633223685     0                       64939              1.3644530773162842   2.497394323348999          9.763606071472168              0.00390625                 0.02099609375             -1.1329410076141357          2.9917502403259277             9.997700691223145                  0.0029296875                   0.38525390625                 -1.627297043800354               1.8828092813491821  2.980543851852417         3.528801918029785             0.0                       0.0                      -1.0977344512939453         4.795527935028076             5.634357452392578                 0.0                           1.0                          -2.9127185344696045             nan                      nan                      nan                    nan                  nan                   nan                    nan                    nan                    nan
-1.1534209251403809    1152.0              0.140625           0.183837890625   2.480471134185791     40     20.0       20.0          0.0     24                  17                  0.7990094423294067    0.977380096912384    0.5036031007766724       16384.0      1.0                1.29107666015625  6.0              196608                116165             77117                3326                        0.5908457438151041     0                       77117              1.3644530773162842   2.4497079849243164         9.146239280700684              0.01416015625              0.01171875                -1.0852549076080322          2.5187368392944336             8.802911758422852                  0.0078125                      0.283203125                   -1.154283881187439               1.8828092813491821  2.980543851852417         3.528801918029785             0.0                       0.0                      -1.0977344512939453         4.778012752532959             5.6045427322387695                0.0                           1.0                          -2.8952038288116455             nan                      nan                      nan                    nan                  nan                   nan                    nan                    nan                    nan
-0.875597357749939     928.0               0.11328125         0.164794921875   2.1923935413360596    50     25.0       25.0          0.0     30                  21                  0.7425155639648438    0.9764703512191772   0.4807509183883667       16384.0      1.0                1.30389404296875  6.0              245760                151845             90487                3428                        0.61785888671875       0                       90487              1.3644530773162842   2.4499833583831787         9.146239280700684              0.0126953125               0.01025390625             -1.0855300426483154          2.22275447845459               8.701114654541016                  0.0166015625                   0.2373046875                  -0.858301043510437               1.8828092813491821  2.980543851852417         3.528801918029785             0.0                       0.0                      -1.0977344512939453         4.346954822540283             5.241759300231934                 0.0                           1.0                          -2.4641454219818115             nan                      nan                      nan                    nan                  nan                   nan                    nan                    nan                    nan
-0.774324893951416     nan                 nan                nan              nan                   60     30.0       30.0          1.0     34                  27                  0.6554501056671143    0.9747716784477234   0.008908663876354694     16384.0      1.0                1.287841796875    5.0              278528                176303             98761                3464                        0.6329812442555147     0                       98761              1.3644530773162842   2.379136562347412          9.146239280700684              0.03857421875              0.0107421875              -1.0146833658218384          1.8405038118362427             8.0692720413208                    0.02978515625                  0.1650390625                  -0.47605061531066895             1.8828092813491821  4.738687992095947         6.166018486022949             0.0                       0.6666666865348816       -2.8558788299560547         4.387859344482422             4.741295337677002                 0.0                           1.0                          -2.505049705505371              -0.0007687976176384836   -0.006169397303892765    0.03970171115361154    1.445025622844696    0.1508502960205078    0.2520122528076172     0.0027251877945673186  0.0028564657259266824  4.798097133636475
-0.18530327081680298   1070.0              0.130615234375     0.22900390625    1.5152699947357178    70     35.0       35.0          0.0     38                  33                  0.5764033794403076    0.9727908372879028   0.3716217577457428       16384.0      1.0                1.28729248046875  6.0              311296                201040             106748               3508                        0.6458162006578947     0                       106748             1.3644530773162842   2.2131996154785156         6.667224407196045              0.09326171875              0.01220703125             -0.848746657371521           1.5495736598968506             7.178664207458496                  0.06396484375                  0.1591796875                  -0.18512050807476044             1.8828092813491821  4.738687992095947         6.166018486022949             0.0                       0.6666666865348816       -2.8558788299560547         3.91670823097229              3.9859070777893066                0.0                           1.0                          -2.0338990688323975             nan                      nan                      nan                    nan                  nan                   nan                    nan                    nan                    nan
-0.5057030916213989    nan                 nan                nan              nan                   80     40.0       40.0          1.0     44                  37                  0.5298511385917664    0.9709699153900146   0.0029784191865473986    16384.0      1.0                1.32794189453125  6.0              360448                238638             118259               3551                        0.6620594371448864     0                       118259             1.3644530773162842   2.0222654342651367         6.785763263702393              0.15625                    0.013671875               -0.657812237739563           1.2868671417236328             5.764551162719727                  0.09423828125                  0.1572265625                  0.07758595794439316              1.8828092813491821  5.289402008056641         5.549533367156982             0.0                       1.0                      -3.406592607498169          4.007270336151123             4.729503154754639                 0.0                           1.0                          -2.1244609355926514             -0.0008931448974180967   -0.008614869278972037    0.040385237196460366   1.2470894567668438   0.2308502197265625    0.4144783020019531     0.008075426107097883   0.008044950303883525   2.690950393676758
0.2386840283870697     nan                 nan                nan              nan                   90     45.0       45.0          1.0     47                  44                  0.44391047954559326   0.9630880951881409   -4.077923065892719e-08   16384.0      1.0                1.3470458984375   6.0              385024                257612             123848               3564                        0.6690803690159575     0                       123848             1.3644530773162842   1.6768418550491333         6.785763263702393              0.28564453125              0.0146484375              -0.3123886287212372          0.9272291660308838             5.343395233154297                  0.16552734375                  0.1259765625                  0.437223881483078                1.8828092813491821  3.9161224365234375        5.549533367156982             0.0                       0.6666666865348816       -2.033313512802124          2.9896576404571533            3.2725117206573486                0.0                           1.0                          -1.1068485975265503             0.0021169580722926185    -0.0029712754221691284   0.03187968849670142    1.0851610898971558   0.3641948699951172    0.5721111297607422     0.023916559483041056   0.023645009961910546   1.470667839050293
